"Region","Year","Party","FirstRoundVotes","FirstRoundVotesPercentage","DirectSeats","SecondRoundVotes","SecondRoundVotesPercentage","ListSeats","TotalSeats","Coalition","TotalSeatsPercentage"
"DE",2013,"Christian Democratic Union (CDU)",16233642,37.2,191,14921877,34.1,64,255,"No",0.404120443740095
"DE",2013,"Christian Social Union (CSU)",3544079,8.1,45,3243569,7.4,11,56,"No",0.0887480190174326
"DE",2013,"Social Democratic Party of Germany (SPD)",12843458,29.4,58,11252215,25.7,135,193,"No",0.305863708399366
"DE",2013,"The Left. (DIE LINKE)",3585178,8.2,4,3755699,8.6,60,64,"No",0.101426307448494
"DE",2013,"Alliance 90/The Greens (GRÜNE)",3180299,7.3,1,3694057,8.4,62,63,"No",0.0998415213946117
"DE",2013,"Free Democratic Party (F.D.P.)",1028645,2.4,0,2083533,4.8,0,0,"No",0
"DE",2013,"Alternative for Germany (AfD)",810915,1.9,0,2056985,4.7,0,0,"No",0
"DE",2013,"Pirate Party of Germany (PIRATEN)",963623,2.2,0,959177,2.2,0,0,"No",0
"DE",2013,"National Democratic Party of Germany (NPD)",635135,1.5,0,560828,1.3,0,0,"No",0
"DE",2013,"Free Voters (FREIE WÄHLER)",431640,1,0,423977,1,0,0,"No",0
"DE",2013,"Others",368428,0.8,0,774939,1.8,0,0,"No",0
