"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"IS",2017,"Independence Party",49548,25.2,16,"No",0.253968253968254
"IS",2017,"Left-Green Movement",33156,16.9,11,"No",0.174603174603175
"IS",2017,"Progressive Party",21017,10.7,8,"No",0.126984126984127
"IS",2017,"Social Democratic Alliance",23654,12.1,7,"No",0.111111111111111
"IS",2017,"Center Party",21337,10.9,7,"No",0.111111111111111
"IS",2017,"Pirate Party",18053,9.2,6,"No",0.0952380952380952
"IS",2017,"People's Party",13502,6.9,4,"No",0.0634920634920635
"IS",2017,"Reform",13122,6.7,4,"No",0.0634920634920635
"IS",2017,"Bright Future",2394,1.2,0,"No",0
"IS",2017,"People's Front of Iceland",375,0.2,0,"No",0
"IS",2017,"Dawn",101,0.1,0,"No",0
