"Region","Region2","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"ES",NA,2004,"Partido Socialista Obrero Español (PSOE)",11026163,42.6,164,"No",0.468571428571429
"ES",NA,2004,"Partido Popular (PP)",9763144,37.7,148,"No",0.422857142857143
"ES",NA,2004,"Convergència i Unió (CiU)",835471,3.2,10,"No",0.0285714285714286
"ES",NA,2004,"Esquerra Republicana de Catalunya (ERC)",652196,2.5,8,"No",0.0228571428571429
"ES",NA,2004,"Euzko Alderdi Jeltzalea-Partido Nacionalista Vasco (EAJ-PNV)",420980,1.6,7,"No",0.02
"ES",NA,2004,"Izquierda Unida (IU)",1324370,5.1,5,"No",0.0142857142857143
"ES",NA,2004,"Coalición Canaria (CC)",235221,0.9,3,"No",0.00857142857142857
"ES",NA,2004,"Bloque Nacionalista Galego (BNG)",208688,0.8,2,"No",0.00571428571428571
"ES",NA,2004,"Chunta Aragonesista (ChA)",94252,0.4,1,"No",0.00285714285714286
"ES",NA,2004,"Eusko Alkartasuna (EA)",80905,0.3,1,"No",0.00285714285714286
"ES",NA,2004,"Nafarroa Bai (Na-Bai)",61045,0.2,1,"No",0.00285714285714286
"ES",NA,2004,"Partido Andalucista (PA)",181868,0.7,0,"No",0
"ES",NA,2004,"Otros",599201,2.3,0,"No",0
