"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"NL",2003,"Christian Democratic Appeal (CDA)",2763480,28.6,44,"No",0.293333333333333
"NL",2003,"Labour Party (PvdA)",2631363,27.3,42,"No",0.28
"NL",2003,"People's Party for Freedom and Democracy (VVD)",1728707,17.9,28,"No",0.186666666666667
"NL",2003,"Socialist Party (SP)",609723,6.3,9,"No",0.06
"NL",2003,"List Pim Fortuyn (LPF)",549975,5.7,8,"No",0.0533333333333333
"NL",2003,"Green Left (GL)",495802,5.1,8,"No",0.0533333333333333
"NL",2003,"Democrats 66 (D66)",393333,4.1,6,"No",0.04
"NL",2003,"Christian Union (CU)",204694,2.1,3,"No",0.02
"NL",2003,"Political Reformed Party (SGP)",150305,1.6,2,"No",0.0133333333333333
"NL",2003,"Party for the Animals (PvdD)",47754,0.5,0,"No",0
"NL",2003,"Liveable Netherlands (LN)",38894,0.4,0,"No",0
"NL",2003,"Others",40445,0.4,0,"No",0
