"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"SI",2018,"List of Marjan Sarec (LMS)",112250,12.6,13,"No",0.144444444444444
"SI",2018,"Modern Center Party (SMC)",86868,9.7,10,"No",0.111111111111111
"SI",2018,"New Slovenia - Christian Democrats (NSi)",63792,7.2,7,"No",0.0777777777777778
"SI",2018,"Democratic Party of Slovenian Pensioners (DeSUS)",43889,4.9,5,"No",0.0555555555555556
"SI",2018,"Slovenian People's Party (SLS)",23329,2.6,0,"No",0
"SI",2018,"Others",65439,7.3,2,"No",0.0222222222222222
"SI",2018,"Slovenian Democratic Party (SDS)",222042,24.9,25,"No",0.277777777777778
"SI",2018,"Social Democrats (SD)",88524,9.9,10,"No",0.111111111111111
"SI",2018,"The Left (LEVICA)",83108,9.3,9,"No",0.1
"SI",2018,"Party of Alenka Bratusek (SAB)",45492,5.1,5,"No",0.0555555555555556
"SI",2018,"Slovenian National Party (SNS)",37182,4.2,4,"No",0.0444444444444444
"SI",2018,"Slovenian Pirate Party (PSS)",19182,2.2,0,"No",0
