"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"SK",2006,"Slovak Democratic and Christian Union - Democratic Party (SDKU-DS)",422815,18.4,31,"No",0.206666666666667
"SK",2006,"Hungarian Coalition Party (SMK-MKP)",269111,11.7,20,"No",0.133333333333333
"SK",2006,"Christian Democratic Movement (KDH)",191443,8.3,14,"No",0.0933333333333333
"SK",2006,"Alliance of the New Citizen (ANO)",32775,1.4,0,"No",0
"SK",2006,"Direction - Social Democracy (SMER)",671185,29.1,50,"No",0.333333333333333
"SK",2006,"Slovak National Party (SNS)",270230,11.7,20,"No",0.133333333333333
"SK",2006,"People's Party - Movement for a Democratic Slovakia (LS-HZDS)",202540,8.8,15,"No",0.1
"SK",2006,"Communist Party of Slovakia (KSS)",89418,3.9,0,"No",0
"SK",2006,"Others",153622,6.7,0,"No",0
