"Region","Year","Party","FirstRoundVotes","FirstRoundVotesPercentage","SecondRoundVotes","SecondRoundVotesPercentage","SingleMemberSeats","ListVotes","ListVotesPercentage","ListSeats","NationalListSeats","TotalSeats","Coalition","TotalSeatsPercentage"
"HU",2010,"Fidesz-Hungarian Civic Union-KDNP",2732965,53.4,"620232","53.8",172,"2706292","52.7","87","3",262,"No",0.678756476683938
"HU",2010,"Hungarian Socialist Party (MSZP)",1088374,21.3,"326361","28.3",2,"990428","19.3","28","29",59,"No",0.152849740932642
"HU",2010,"Movement for a Better Hungary (Jobbik)",836774,16.4,"141415","12.3",0,"855436","16.7","26","21",47,"No",0.121761658031088
"HU",2010,"Politics Can Be Different (LMP)",259220,5.1,"43437","3.8",0,"383876","7.5","5","11",16,"No",0.0414507772020725
"HU",2010,"Fidesz-KDNP-MVMP joint candidate",10661,0.2,"8796","0.8",1,"-","-","-","-",1,"No",0.00259067357512953
"HU",2010,"Hungarian Democratic Forum (MDF)",72768,1.4,"-","-",0,"136895","2.7","0","0",0,"No",0
"HU",2010,"MDF-SZDSZ joint candidates",12652,0.2,"-","-",0,"-","-","-","-",0,"No",0
"HU",2010,"Association for Somogy",7470,0.1,"-","-",0,"-","-","-","-",0,"No",0
"HU",2010,"Others",93686,1.8,"12452","1.1",1,"59604","1.2","0","0",1,"No",0.00259067357512953
