"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"UA",2006,"Bloc of Yulia Tymoshenko",5652876,22.3,129,"No",0.286666666666667
"UA",2006,"Socialist Party of Ukraine",1444224,5.7,33,"No",0.0733333333333333
"UA",2006,"People's Opposition Bloc of Natalia Vitrenko",743704,2.9,0,"No",0
"UA",2006,"Others",3332330,13.1,0,"No",0
"UA",2006,"Party of Regions",8148745,32.1,186,"No",0.413333333333333
"UA",2006,"Bloc ""Our Ukraine""",3539140,14,81,"No",0.18
"UA",2006,"Communist Party of Ukraine",929591,3.7,21,"No",0.0466666666666667
"UA",2006,"Bloc of Lytvyn",619905,2.4,0,"No",0
