"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"AT",2002,"Social Democratic Party of Austria (SPO)",1792499,36.5,69,"No",0.377049180327869
"AT",2002,"The Greens - The Green Alternative (GRUNE)",464980,9.5,17,"No",0.092896174863388
"AT",2002,"Communist Party of Austria (KPO)",27568,0.6,0,"No",0
"AT",2002,"Austrian People's Party (OVP)",2076833,42.3,79,"No",0.431693989071038
"AT",2002,"Freedom Party of Austria (FPO)",491328,10,18,"No",0.0983606557377049
"AT",2002,"Liberal Forum (LIF)",48083,1,0,"No",0
"AT",2002,"Others",8354,0.2,0,"No",0
