"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"IE",2016,"Fianna Fail",519353,24.3,44,"No",0.278481012658228
"IE",2016,"Non-Party",334814,15.7,19,"No",0.120253164556962
"IE",2016,"Anti-Austerity Alliance - People Before Profit",84168,3.9,6,"No",0.0379746835443038
"IE",2016,"Social Democrats",64094,3,3,"No",0.0189873417721519
"IE",2016,"Renua Ireland",46552,2.2,0,"No",0
"IE",2016,"Fine Gael",544230,25.5,50,"No",0.316455696202532
"IE",2016,"Sinn Fein",295313,13.8,23,"No",0.145569620253165
"IE",2016,"Labour Party",140893,6.6,7,"No",0.0443037974683544
"IE",2016,"Independents 4 Change",31365,1.5,4,"No",0.0253164556962025
"IE",2016,"Green Party/Comhaontas Glas",57997,2.7,2,"No",0.0126582278481013
"IE",2016,"Others",14116,0.7,0,"No",0
