"Region","Region2","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"ES",NA,2008,"Partido Socialista Obrero Español (PSOE)",11289335,43.9,169,"No",0.482857142857143
"ES",NA,2008,"Partido Popular (PP)",10278010,39.9,154,"No",0.44
"ES",NA,2008,"Convergència i Unió (CiU)",779425,3,10,"No",0.0285714285714286
"ES",NA,2008,"Euzko Alderdi Jeltzalea-Partido Nacionalista Vasco (EAJ-PNV)",306128,1.2,6,"No",0.0171428571428571
"ES",NA,2008,"Esquerra Republicana de Catalunya (ERC)",298139,1.2,3,"No",0.00857142857142857
"ES",NA,2008,"Izquierda Unida (IU)",969946,3.8,2,"No",0.00571428571428571
"ES",NA,2008,"Bloque Nacionalista Galego (BNG)",212543,0.8,2,"No",0.00571428571428571
"ES",NA,2008,"Coalición Canaria - Partido Nacionalista Canario (CC-PNC)",174629,0.7,2,"No",0.00571428571428571
"ES",NA,2008,"Unión Progreso y Democracia (UPyD)",306079,1.2,1,"No",0.00285714285714286
"ES",NA,2008,"Nafarroa Bai (Na-Bai)",62398,0.2,1,"No",0.00285714285714286
"ES",NA,2008,"Coalición Andalucista (CA)",68679,0.3,0,"No",0
"ES",NA,2008,"Eusko Alkartasuna (EA)",50371,0.2,0,"No",0
"ES",NA,2008,"Chunta Aragonesista (ChA)",38202,0.1,0,"No",0
"ES",NA,2008,"Otros",614800,2.4,0,"No",0
