"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"FI",2007,"Center Party of Finland",640428,23.1,51,"No",0.255
"FI",2007,"National Coalition Party",616841,22.3,50,"No",0.25
"FI",2007,"Social Democratic Party of Finland",594194,21.4,45,"No",0.225
"FI",2007,"Left Alliance",244296,8.8,17,"No",0.085
"FI",2007,"Green League",234429,8.5,15,"No",0.075
"FI",2007,"Swedish People's Party in Finland",126520,4.6,9,"No",0.045
"FI",2007,"Christian Democrats in Finland",134790,4.9,7,"No",0.035
"FI",2007,"True Finns",112256,4.1,5,"No",0.025
"FI",2007,"Communist Party of Finland",18277,0.7,0,"No",0
"FI",2007,"Others",49205,1.8,1,"No",0.005
