"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"NL",2002,"Christian Democratic Appeal (CDA)",2653723,27.9,43,"No",0.286666666666667
"NL",2002,"List Pim Fortuyn (LPF)",1614801,17,26,"No",0.173333333333333
"NL",2002,"People's Party for Freedom and Democracy (VVD)",1466722,15.4,24,"No",0.16
"NL",2002,"Labour Party (PvdA)",1436023,15.1,23,"No",0.153333333333333
"NL",2002,"Green Left (GL)",660692,7,10,"No",0.0666666666666667
"NL",2002,"Socialist Party (SP)",560447,5.9,9,"No",0.06
"NL",2002,"Democrats 66 (D66)",484317,5.1,7,"No",0.0466666666666667
"NL",2002,"Christian Union (CU)",240953,2.5,4,"No",0.0266666666666667
"NL",2002,"Political Reformed Party (SGP)",163562,1.7,2,"No",0.0133333333333333
"NL",2002,"Liveable Netherlands (LN)",153055,1.6,2,"No",0.0133333333333333
"NL",2002,"Others",66857,0.7,0,"No",0
