"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"NO",2009,"Labour Party",949049,35.4,64,"No",0.378698224852071
"NO",2009,"Progress Party",614717,22.9,41,"No",0.242603550295858
"NO",2009,"Conservative Party (Høyre)",462458,17.2,30,"No",0.177514792899408
"NO",2009,"Socialist Left Party",166361,6.2,11,"No",0.0650887573964497
"NO",2009,"Center Party",165006,6.2,11,"No",0.0650887573964497
"NO",2009,"Christian Democratic Party (Kristelig Folkeparti)",148748,5.5,10,"No",0.0591715976331361
"NO",2009,"Liberal Party (Venstre)",104144,3.9,2,"No",0.0118343195266272
"NO",2009,"Red",36219,1.3,0,"No",0
"NO",2009,"Others",36201,1.3,0,"No",0
