"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"PL",2007,"Law and Justice (PiS)",5183477,32.1,166,"No",0.360869565217391
"PL",2007,"Polish Peasant Party (PSL)",1437638,8.9,31,"No",0.0673913043478261
"PL",2007,"Self-Defense (SRP)",247335,1.5,0,"No",0
"PL",2007,"Others",208128,1.3,0,"No",0
"PL",2007,"Civic Platform (PO)",6701010,41.5,209,"No",0.454347826086957
"PL",2007,"Left and Democracy (LiD)",2122981,13.2,53,"No",0.115217391304348
"PL",2007,"German Minority",32462,0.2,1,"No",0.00217391304347826
"PL",2007,"League of Polish Families (LPR)",209171,1.3,0,"No",0
