"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"FI",2015,"Center Party of Finland",626218,21.1,49,"No",0.245
"FI",2015,"True Finns",524054,17.7,38,"No",0.19
"FI",2015,"National Coalition Party",540212,18.2,37,"No",0.185
"FI",2015,"Social Democratic Party of Finland",490102,16.5,34,"No",0.17
"FI",2015,"Green League",253102,8.5,15,"No",0.075
"FI",2015,"Left Alliance",211702,7.1,12,"No",0.06
"FI",2015,"Swedish People's Party in Finland",144802,4.9,9,"No",0.045
"FI",2015,"Christian Democrats in Finland",105134,3.5,5,"No",0.025
"FI",2015,"Pirate Party",25086,0.8,0,"No",0
"FI",2015,"Independence Party",13638,0.5,0,"No",0
"FI",2015,"Communist Party of Finland",7529,0.3,0,"No",0
"FI",2015,"Others",26880,1.2,1,"No",0.005
