"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"UA",2012,"All-Ukrainian Union ""Fatherland""",5209090,25.5,62,"No",0.275555555555556
"UA",2012,"Communist Party of Ukraine",2687269,13.2,32,"No",0.142222222222222
"UA",2012,"Ukraine - Forward! of Natalia Korolevska",322198,1.6,0,"No",0
"UA",2012,"Radical Party of Oleh Lyashko",221144,1.1,0,"No",0
"UA",2012,"Party of Regions",6116746,30,72,"No",0.32
"UA",2012,"UDAR (Ukrainian Democratic Alliance for Reform) of Vitaliy Klychko",2847979,14,34,"No",0.151111111111111
"UA",2012,"All-Ukrainian Union ""Svoboda""",2129933,10.4,25,"No",0.111111111111111
"UA",2012,"Our Ukraine",226492,1.1,0,"No",0
"UA",2012,"Others",627168,3.1,0,"No",0
