"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"EE",2011,"Estonian Reform Party",164255,28.6,33,"No",0.326732673267327
"EE",2011,"Estonian Center Party",134124,23.3,26,"No",0.257425742574257
"EE",2011,"Pro Patria and Res Publica Union",118023,20.5,23,"No",0.227722772277228
"EE",2011,"Social Democratic Party",98307,17.1,19,"No",0.188118811881188
"EE",2011,"Estonian Greens",21824,3.8,0,"No",0
"EE",2011,"People's Union of Estonia",12184,2.1,0,"No",0
"EE",2011,"Others",26416,4.6,0,"No",0
