"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"LV",2006,"People's Party",177481,19.6,23,"No",0.23
"LV",2006,"Union of Greens and Farmers",151595,16.7,18,"No",0.18
"LV",2006,"New Era",148602,16.4,18,"No",0.18
"LV",2006,"Harmony Center",130887,14.4,17,"No",0.17
"LV",2006,"First Party of Latvia and Latvia's Way",77869,8.6,10,"No",0.1
"LV",2006,"For Fatherland and Freedom",62989,6.9,8,"No",0.08
"LV",2006,"For Human Rights in a United Latvia",54684,6,6,"No",0.06
"LV",2006,"Latvian Social Democratic Workers' Party",31728,3.5,0,"No",0
"LV",2006,"Others",65830,7.3,0,"No",0
