"Region","Year","Party","FirstRoundVotes","FirstRoundPercentage","FirstRoundSeats","SecondRoundVotes","SecondRoundPercentage","SecondRoundSeats","TotalSeats","Coalition","TotalSeatsPercentage"
"FR",2002,"Socialist Party (PS)",6142656,23.8,2,7481990,35.3,138,140,"No",0.24263431542461
"FR",2002,"French Communist Party (PCF)",1267789,4.9,0,690807,3.3,21,21,"No",0.0363951473136915
"FR",2002,"The Greens",1145781,4.4,0,677929,3.2,3,3,"No",0.00519930675909879
"FR",2002,"Liberal Democracy (DL)",108824,0.4,2,0,0,0,2,"No",0.00346620450606586
"FR",2002,"National Front (FN)",2873556,11.1,0,393205,1.9,0,0,"No",0
"FR",2002,"Hunting, Fishing, Nature and Traditions (CPNT)",422481,1.6,0,0,0,0,0,"No",0
"FR",2002,"Workers' Struggle (LO)",304080,1.2,0,0,0,0,0,"No",0
"FR",2002,"Other right-wing parties",1002107,3.9,1,274374,1.3,8,9,"No",0.0155979202772964
"FR",2002,"Others",753594,2.9,0,41725,0.2,2,2,"No",0.00346620450606586
"FR",2002,"Union for a Presidential Majority (UMP)",8620070,33.4,46,10029762,47.3,309,355,"No",0.61525129982669
"FR",2002,"Union for French Democracy (UDF)",1240103,4.8,6,832785,3.9,23,29,"No",0.0502599653379549
"FR",2002,"Left Radical Party (PRG)",389780,1.5,0,455360,2.1,7,7,"No",0.0121317157712305
"FR",2002,"Rally for France (RPF)",94218,0.4,0,61605,0.3,2,2,"No",0.00346620450606586
"FR",2002,"Movement for France (MPF)",202849,0.8,1,0,0,0,1,"No",0.00173310225303293
"FR",2002,"Republican Pole",308666,1.2,0,12679,0.1,0,0,"No",0
"FR",2002,"Revolutionary Communist League (LCR)",320623,1.2,0,0,0,0,0,"No",0
"FR",2002,"National Republican Movement (MNR)",278291,1.1,0,0,0,0,0,"No",0
"FR",2002,"Other left-wing parties",355363,1.4,0,268530,1.3,6,6,"No",0.0103986135181976
