"Region","District","Year","TypeOfBallot","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"IT",NA,2006,"P","L'Ulivo",11930983,31.3,220,"No",0.356564019448947
"IT",NA,2006,"P","Partito della Rifondazione Comunista",2229464,5.8,41,"No",0.06645056726094
"IT",NA,2006,"P","La Rosa nel Pugno",990694,2.6,18,"No",0.0291734197730956
"IT",NA,2006,"P","Partito dei Comunisti Italiani",884127,2.3,16,"No",0.0259319286871961
"IT",NA,2006,"P","Italia dei Valori",877052,2.3,16,"No",0.0259319286871961
"IT",NA,2006,"P","Federazione dei Verdi",784803,2.1,15,"No",0.0243111831442464
"IT",NA,2006,"P","Popolari UDEUR",534088,1.4,10,"No",0.0162074554294976
"IT",NA,2006,"P","Südtiroler Volkspartei (SVP)",182704,0.5,4,"No",0.00648298217179903
"IT",NA,2006,"P","Partito Pensionati",333278,0.9,0,"No",0
"IT",NA,2006,"P","I Socialisti",115066,0.3,0,"No",0
"IT",NA,2006,"P","Lista Consumatori",73751,0.2,0,"No",0
"IT",NA,2006,"P","Others (Romano Prodi)",66588,0.2,0,"No",0
"IT",NA,2006,"P","Forza Italia",9048976,23.7,137,"No",0.222042139384117
"IT",NA,2006,"P","Alleanza Nazionale",4707126,12.3,71,"No",0.115072933549433
"IT",NA,2006,"P","Unione dei Democratici Cristiani e Democratici di Centro",2580190,6.8,39,"No",0.0632090761750405
"IT",NA,2006,"P","Lega Nord",1747730,4.6,26,"No",0.0421393841166937
"IT",NA,2006,"P","Democrazia Cristiana - Nuovo PSI",285474,0.7,4,"No",0.00648298217179903
"IT",NA,2006,"P","Alternativa Sociale con Alessandra Mussolini",255354,0.7,0,"No",0
"IT",NA,2006,"P","Fiamma Tricolore",230506,0.6,0,"No",0
"IT",NA,2006,"P","Others (Silvio Berlusconi)",122487,0.3,0,"No",0
"IT",NA,2006,"P","Others",172902,0.5,0,"No",0
