"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"NL",2006,"Christian Democratic Appeal (CDA)",2608573,26.5,41,"No",0.273333333333333
"NL",2006,"Labour Party (PvdA)",2085077,21.2,33,"No",0.22
"NL",2006,"Socialist Party (SP)",1630803,16.6,25,"No",0.166666666666667
"NL",2006,"People's Party for Freedom and Democracy (VVD)",1443312,14.7,22,"No",0.146666666666667
"NL",2006,"Group Wilders/Party for Freedom (PVV)",579490,5.9,9,"No",0.06
"NL",2006,"Green Left (GL)",453054,4.6,7,"No",0.0466666666666667
"NL",2006,"Christian Union (CU)",390969,4,6,"No",0.04
"NL",2006,"Democrats 66 (D66)",193232,2,3,"No",0.02
"NL",2006,"Party for the Animals (PvdD)",179988,1.8,2,"No",0.0133333333333333
"NL",2006,"Political Reformed Party (SGP)",153266,1.6,2,"No",0.0133333333333333
"NL",2006,"One NL",62829,0.6,0,"No",0
"NL",2006,"Fortuyn",20956,0.2,0,"No",0
"NL",2006,"Others",37134,0.4,0,"No",0
