"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"PT",2022,"Partido Socialista (PS)",2246483,41.7,117,"No",0.517699115044248
"PT",2022,"Partido Social Democrata (PPD/PSD)",1498605,27.8,71,"No",0.314159292035398
"PT",2022,"CHEGA (CH)",385543,7.2,12,"No",0.0530973451327434
"PT",2022,"Iniciativa Liberal (IL)",268414,5,8,"No",0.0353982300884956
"PT",2022,"CDU - Coligação Democrática Unitária (PCP-PEV)",236630,4.4,6,"No",0.0265486725663717
"PT",2022,"Bloco de Esquerda (B.E.)",240257,4.5,5,"No",0.0221238938053097
"PT",2022,"Madeira Primeiro (PPD/PSD.CDS-PP)",50634,0.9,3,"No",0.0132743362831858
"PT",2022,"Aliança Democrática (PPD/PSD.CDS-PP.PPM)",28520,0.5,2,"No",0.00884955752212389
"PT",2022,"Pessoas-Animais-Natureza (PAN)",82250,1.5,1,"No",0.00442477876106195
"PT",2022,"LIVRE (L)",68971,1.3,1,"No",0.00442477876106195
"PT",2022,"CDS - Partido Popular (CDS-PP)",86578,1.6,0,"No",0
"PT",2022,"Reagir Incluir Reciclar (R.I.R.)",22705,0.4,0,"No",0
"PT",2022,"Juntos pelo Povo (JPP)",10935,0.2,0,"No",0
"PT",2022,"Partido Comunista dos Trabalhadores Portugueses (PCTP/MRPP)",10755,0.2,0,"No",0
"PT",2022,"Alternativa Democrática Nacional (AND)",10017,0.2,0,"No",0
"PT",2022,"Partido da Terra (MPT)",6437,0.1,0,"No",0
"PT",2022,"Movimento Alternativa Socialista (MAS)",5990,0.1,0,"No",0
"PT",2022,"Volt Portugal (VP)",5528,0.1,0,"No",0
"PT",2022,"Ergue-te (E)",4756,0.1,0,"No",0
"PT",2022,"Partido Trabalhista Português (PTP)",3239,0.1,0,"No",0
"PT",2022,"Nós, Cidadãos! (NC)",2997,0.1,0,"No",0
"PT",2022,"Aliança (A)",1902,0,0,"No",0
"PT",2022,"Partido Popular Monárquico (PPM)",260,0,0,"No",0
