"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"TR",2011,"Republican People's Party (CHP)",11155972,26,135,"No",0.245454545454545
"TR",2011,"Independents",2819917,6.6,35,"No",0.0636363636363636
"TR",2011,"Others",1437825,3.3,0,"No",0
"TR",2011,"Justice and Development Party (AKP)",21399082,49.8,327,"No",0.594545454545455
"TR",2011,"Nationalist Action Party (MHP)",5585513,13,53,"No",0.0963636363636364
"TR",2011,"Felicity Party (SP)",543454,1.3,0,"No",0
