"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"NO",2001,"Labour Party",612632,24.3,43,"No",0.260606060606061
"NO",2001,"Conservative Party (Høyre)",534852,21.2,38,"No",0.23030303030303
"NO",2001,"Progress Party",369236,14.6,26,"No",0.157575757575758
"NO",2001,"Socialist Left Party",316397,12.5,23,"No",0.139393939393939
"NO",2001,"Christian Democratic Party (Kristelig Folkeparti)",312839,12.4,22,"No",0.133333333333333
"NO",2001,"Center Party",140287,5.6,10,"No",0.0606060606060606
"NO",2001,"Liberal Party (Venstre)",98486,3.9,2,"No",0.0121212121212121
"NO",2001,"Coast Party",44010,1.7,1,"No",0.00606060606060606
"NO",2001,"Red Electoral Alliance",30015,1.2,0,"No",0
"NO",2001,"Others",63066,2.5,0,"No",0
