"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"LU",2013,"Christian Social People's Party (CSV)",63955,34.1,23,"No",0.383333333333333
"LU",2013,"Luxembourg Socialist Workers' Party (LSAP)",36083,19.2,13,"No",0.216666666666667
"LU",2013,"Democratic Party (DP)",35831,19.1,13,"No",0.216666666666667
"LU",2013,"The Greens",19374,10.3,6,"No",0.1
"LU",2013,"Alternative Democratic Reform Party (ADR)",12740,6.8,3,"No",0.05
"LU",2013,"The Left",8388,4.5,2,"No",0.0333333333333333
"LU",2013,"Pirate Party",5554,3,0,"No",0
"LU",2013,"Party for Integral Democracy (PID)",3200,1.7,0,"No",0
"LU",2013,"Communist Party of Luxembourg (KPL)",2699,1.4,0,"No",0
