"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"BE",2007,"Christian Democratic & Flemish (CD&V) New Flemish Alliance (N-VA)",1234950,18.5,30,"No",0.2
"BE",2007,"Reform Movement (MR)",835073,12.5,23,"No",0.153333333333333
"BE",2007,"Socialist Party (PS)",724787,10.9,20,"No",0.133333333333333
"BE",2007,"Open VLD (Flemish Liberals and Democrats)",789445,11.8,18,"No",0.12
"BE",2007,"Flemish Interest (VB)",799844,12,17,"No",0.113333333333333
"BE",2007,"Socialist Party. Different - Spirit (sp.a-spirit)",684390,10.3,14,"No",0.0933333333333333
"BE",2007,"Humanist Democratic Center (CDH)",404077,6.1,10,"No",0.0666666666666667
"BE",2007,"Ecolo",340378,5.1,8,"No",0.0533333333333333
"BE",2007,"List Dedecker",268648,4,5,"No",0.0333333333333333
"BE",2007,"Green!",265828,4,4,"No",0.0266666666666667
"BE",2007,"National Front (FN)",131385,2,1,"No",0.00666666666666667
"BE",2007,"Others",192555,2.9,0,"No",0
