"Region","District","Year","ListLetter","Party","Votes","VotesPercentage","DistrictSeats","AdditionalSeats","TotalSeats","Coalition","TotalSeatsPercentage"
"DK",NA,2015,"A","Social Democratic Party","924940","26.3","43","4",47,"No",0.262569832402235
"DK",NA,2015,"O","Danish People's Party","741746","21.1","33","4",37,"No",0.206703910614525
"DK",NA,2015,"V","Liberal Party of Denmark (Venstre)","685188","19.5","33","1",34,"No",0.189944134078212
"DK",NA,2015,"Ø","Unity List - Red-Green Alliance","274463","7.8","10","4",14,"No",0.0782122905027933
"DK",NA,2015,"I","Liberal Alliance","265129","7.5","9","4",13,"No",0.0726256983240224
"DK",NA,2015,"Å","The Alternative","168788","4.8","3","6",9,"No",0.0502793296089385
"DK",NA,2015,"B","Danish Social-Liberal Party (Radikale Venstre)","161009","4.6","2","6",8,"No",0.0446927374301676
"DK",NA,2015,"F","Socialist People's Party","147578","4.2","2","5",7,"No",0.0391061452513966
"DK",NA,2015,"C","Conservative People's Party","118003","3.4","0","6",6,"No",0.0335195530726257
"DK",NA,2015,"K","Christian Democrats","29077","0.8","0","0",0,"No",0
"DK",NA,2015,"","Independent Candidates","3066","0.1","0","0",0,"No",0
"DK",NA,2015,"","Faroe Islands","-","-","-","-",2,"No",0.0111731843575419
"DK",NA,2015,"","Greenland","-","-","-","-",2,"No",0.0111731843575419
