"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"UA",2007,"Bloc of Yulia Tymoshenko",7162193,30.7,156,"No",0.346666666666667
"UA",2007,"Communist Party of Ukraine",1257291,5.4,27,"No",0.06
"UA",2007,"Socialist Party of Ukraine",668234,2.9,0,"No",0
"UA",2007,"Others",661928,2.8,0,"No",0
"UA",2007,"Party of Regions",8013895,34.4,175,"No",0.388888888888889
"UA",2007,"Bloc ""Our Ukraine - People's Self Defense""",3301282,14.2,72,"No",0.16
"UA",2007,"Bloc of Lytvyn",924538,4,20,"No",0.0444444444444444
"UA",2007,"Progressive Socialist Party of Ukraine",309008,1.3,0,"No",0
