"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"BG",2001,"United Democratic Forces",830338,18.2,51,"No",0.2125
"BG",2001,"Movement for Rights and Freedoms",340395,7.5,21,"No",0.0875
"BG",2001,"Coalition ""Simeon II""",157141,3.4,0,"No",0
"BG",2001,"National Movement Simeon II",1952513,42.7,120,"No",0.5
"BG",2001,"Coalition for Bulgaria",783372,17.1,48,"No",0.2
"BG",2001,"George Day - IMRO",165927,3.6,0,"No",0
"BG",2001,"Others",338505,7.4,0,"No",0
