"Region","District","Year","TypeOfBallot","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"IT",NA,2001,"M","Casa delle Libertà",16915513,45.4,282,"No",0.447619047619048
"IT",NA,2001,"M","L'Ulivo",16288228,43.7,189,"No",0.3
"IT",NA,2001,"M","Südtiroler Volkspartei (SVP)",173735,0.5,3,"No",0.00476190476190476
"IT",NA,2001,"M","Vallée d'Aoste",25577,0.1,1,"No",0.00158730158730159
"IT",NA,2001,"M","Lista Di Pietro",1487287,4,0,"No",0
"IT",NA,2001,"M","Democrazia Europea",1310119,3.5,0,"No",0
"IT",NA,2001,"M","Pannella-Bonino",457117,1.2,0,"No",0
"IT",NA,2001,"M","Fiamma Tricolore",121527,0.3,0,"No",0
"IT",NA,2001,"M","Democratici di Sinistra (Valle d'Aosta)",20452,0.1,0,"No",0
"IT",NA,2001,"M","Forza Italia-Lega Nord (Valle d'Aosta)",16049,0.1,0,"No",0
"IT",NA,2001,"M","Alleanza Nazionale (Valle d'Aosta)",4464,0,0,"No",0
"IT",NA,2001,"M","Others",439637,1.1,0,"No",0
"IT",NA,2001,"P","Forza Italia",10923431,29.4,62,"No",0.0984126984126984
"IT",NA,2001,"P","Democratici di Sinistra",6151154,16.6,31,"No",0.0492063492063492
"IT",NA,2001,"P","La Margherita",5391827,14.5,27,"No",0.0428571428571429
"IT",NA,2001,"P","Alleanza Nazionale",4463205,12,24,"No",0.0380952380952381
"IT",NA,2001,"P","Rifondazione Comunista",1868659,5,11,"No",0.0174603174603175
"IT",NA,2001,"P","Lega Nord",1464301,3.9,0,"No",0
"IT",NA,2001,"P","Lista Di Pietro",1443725,3.9,0,"No",0
"IT",NA,2001,"P","Centro Cristiano Democratico-Cristiani Democratici Uniti (CCD-CDU)",1194040,3.2,0,"No",0
"IT",NA,2001,"P","Democrazia Europea",888249,2.4,0,"No",0
"IT",NA,2001,"P","Pannella-Bonino",832213,2.2,0,"No",0
"IT",NA,2001,"P","Il Girasole",805340,2.2,0,"No",0
"IT",NA,2001,"P","Comunisti Italiani",620859,1.7,0,"No",0
"IT",NA,2001,"P","Nuovo PSI",353269,1,0,"No",0
"IT",NA,2001,"P","Südtiroler Volkspartei (SVP)",200059,0.5,0,"No",0
"IT",NA,2001,"P","Fiamma Tricolore",143963,0.4,0,"No",0
"IT",NA,2001,"P","Others",378482,1.1,0,"No",0
