"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"CH",2003,"Swiss People's Party (SVP/UDC)",561817,26.7,55,"No",0.275
"CH",2003,"Social Democratic Party of Switzerland (SPS/PSS)",490392,23.3,52,"No",0.26
"CH",2003,"Radical Democratic Party (FDP/PRD)",364503,17.3,36,"No",0.18
"CH",2003,"Christian Democratic People's Party (CVP/PDC)",302357,14.4,28,"No",0.14
"CH",2003,"The Greens - Green Party of Switzerland (GPS/PES)",156229,7.4,13,"No",0.065
"CH",2003,"Liberal Party of Switzerland (LPS/PLS)",45864,2.2,4,"No",0.02
"CH",2003,"Evangelical People's Party (EVP/PEV)",47839,2.3,3,"No",0.015
"CH",2003,"Federal Democratic Union (EDU/UDF)",26586,1.3,2,"No",0.01
"CH",2003,"Swiss Labour Party (PdA/PST)",14595,0.7,2,"No",0.01
"CH",2003,"Swiss Democrats (SD/DS)",20176,1,1,"No",0.005
"CH",2003,"Alternative List (FGA/AVF)",11152,0.5,1,"No",0.005
"CH",2003,"Solidarities (Sol.)",10563,0.5,1,"No",0.005
"CH",2003,"Christian Social Party (CSP/PCS)",7538,0.4,1,"No",0.005
"CH",2003,"Ticino League (Lega)",7304,0.3,1,"No",0.005
"CH",2003,"Freedom Party of Switzerland (FPS/PSL)",3999,0.2,0,"No",0
"CH",2003,"Others",31150,1.5,0,"No",0
