"Region","District","Year","ListLetter","Party","Votes","VotesPercentage","DistrictSeats","AdditionalSeats","TotalSeats","Coalition","TotalSeatsPercentage"
"DK",NA,2001,"V","Liberal Party of Denmark (Venstre)","1077858","31.2","49","7",56,"No",0.312849162011173
"DK",NA,2001,"A","Social Democratic Party","1003323","29.1","50","2",52,"No",0.290502793296089
"DK",NA,2001,"O","Danish People's Party","413987","12.0","18","4",22,"No",0.122905027932961
"DK",NA,2001,"C","Conservative People's Party","312770","9.1","10","6",16,"No",0.0893854748603352
"DK",NA,2001,"F","Socialist People's Party","219842","6.4","5","7",12,"No",0.0670391061452514
"DK",NA,2001,"B","Danish Social-Liberal Party (Radikale Venstre)","179023","5.2","3","6",9,"No",0.0502793296089385
"DK",NA,2001,"Ø","Unity List - Red-Green Alliance","82685","2.4","0","4",4,"No",0.0223463687150838
"DK",NA,2001,"Q","Christian People's Party","78793","2.3","0","4",4,"No",0.0223463687150838
"DK",NA,2001,"D","Center Democrats","61031","1.8","0","0",0,"No",0
"DK",NA,2001,"Z","Progress Party","19340","0.6","0","0",0,"No",0
"DK",NA,2001,"","Independent Candidates","1016","0.0","0","0",0,"No",0
"DK",NA,2001,"","Faroe Islands","-","-","-","-",2,"No",0.0111731843575419
"DK",NA,2001,"","Greenland","-","-","-","-",2,"No",0.0111731843575419
