"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"IS",2013,"Independence Party",50455,26.7,19,"No",0.301587301587302
"IS",2013,"Progressive Party",46173,24.4,19,"No",0.301587301587302
"IS",2013,"Social Democratic Alliance",24294,12.9,9,"No",0.142857142857143
"IS",2013,"Left-Green Movement",20546,10.9,7,"No",0.111111111111111
"IS",2013,"Bright Future",15584,8.2,6,"No",0.0952380952380952
"IS",2013,"Pirate Party",9648,5.1,3,"No",0.0476190476190476
"IS",2013,"Dawn",5855,3.1,0,"No",0
"IS",2013,"Household's Party",5707,3,0,"No",0
"IS",2013,"Iceland Democratic Party",4658,2.5,0,"No",0
"IS",2013,"Right Green People's Party",3262,1.7,0,"No",0
"IS",2013,"Rainbow",2021,1.1,0,"No",0
"IS",2013,"Others",792,0.4,0,"No",0
