"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"FI",2019,"Social Democratic Party of Finland",545544,17.7,40,"No",0.2
"FI",2019,"Finns Party",538731,17.5,39,"No",0.195
"FI",2019,"National Coalition Party",523446,17,38,"No",0.19
"FI",2019,"Center Party of Finland",423352,13.8,31,"No",0.155
"FI",2019,"Green League",353654,11.5,20,"No",0.1
"FI",2019,"Left Alliance",251254,8.2,16,"No",0.08
"FI",2019,"Swedish People's Party in Finland",139428,4.5,9,"No",0.045
"FI",2019,"Christian Democrats in Finland",120039,3.9,5,"No",0.025
"FI",2019,"Movement Now",69357,2.3,1,"No",0.005
"FI",2019,"Blue Reform",29959,1,0,"No",0
"FI",2019,"Pirate Party of Finland",18991,0.6,0,"No",0
"FI",2019,"Others",64737,2.1,1,"No",0.005
