"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"NO",2013,"Labour Party",874769,30.8,55,"No",0.325443786982249
"NO",2013,"Conservative Party (Høyre)",760232,26.8,48,"No",0.284023668639053
"NO",2013,"Progress Party",463560,16.3,29,"No",0.171597633136095
"NO",2013,"Christian Democratic Party (Kristelig Folkeparti)",158475,5.6,10,"No",0.0591715976331361
"NO",2013,"Center Party",155357,5.5,10,"No",0.0591715976331361
"NO",2013,"Liberal Party (Venstre)",148275,5.2,9,"No",0.0532544378698225
"NO",2013,"Socialist Left Party",116021,4.1,7,"No",0.0414201183431953
"NO",2013,"Green Party",79152,2.8,1,"No",0.00591715976331361
"NO",2013,"Red",30751,1.1,0,"No",0
"NO",2013,"Others",49437,1.7,0,"No",0
