"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"GK",2004,"New Democracy (ND)",3359058,45.4,165,"No",0.55
"GK",2004,"Pan Hellenic Socialist Movement (PASOK)",3002531,40.5,117,"No",0.39
"GK",2004,"Communist Party of Greece (KKE)",436573,5.9,12,"No",0.04
"GK",2004,"Coalition of the Left, the Movements and the Ecology (SYN)",241539,3.3,6,"No",0.02
"GK",2004,"Popular Orthodox Rally (LAOS)",162103,2.2,0,"No",0
"GK",2004,"Democratic Social Movement (DHKKI)",132750,1.8,0,"No",0
"GK",2004,"Others",70380,1,0,"No",0
