"Region","Year","Party","FirstRoundVotes","FirstRoundVotesPercentage","SecondRoundVotes","SecondRoundVotesPercentage","SingleMemberSeats","ListVotes","ListVotesPercentage","ListSeats","NationalListSeats","TotalSeats","Coalition","TotalSeatsPercentage"
"HU",2018,"Fidesz - Hungarian Civic Union-KDNP",2636201,47.9,NA,NA,91,2824551,49.3,NA,42,133,"No",0.668341708542714
"HU",2018,"Movement for a Better Hungary (Jobbik)",1276840,23.2,NA,NA,1,1092806,19.1,NA,25,26,"No",0.130653266331658
"HU",2018,"Hungarian Socialist Party-Dialogue (MSZP-PÁRBESZÉD)",622458,11.3,NA,NA,8,682701,11.9,NA,12,20,"No",0.100502512562814
"HU",2018,"Democratic Coalition (DK)",348176,6.3,NA,NA,3,308161,5.4,NA,6,9,"No",0.0452261306532663
"HU",2018,"Politics Can Be Different (LMP)",312731,5.7,NA,NA,1,404429,7.1,NA,7,8,"No",0.0402010050251256
"HU",2018,"Together - Party for a New Era (EGYÜTT)",58591,1.1,NA,NA,1,37562,0.7,NA,0,1,"No",0.0050251256281407
"HU",2018,"Momentum Movement (MOMENTUM)",75033,1.4,NA,NA,0,175229,3.1,NA,0,0,"No",0
"HU",2018,"Hungarian Two-tailed Dog Party (MKKP)",39763,0.7,NA,NA,0,99414,1.7,NA,0,0,"No",0
"HU",2018,"Others",134737,2.4,NA,NA,1,107430,1.9,NA,1,2,"No",0.0100502512562814
