"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"FI",2011,"National Coalition Party",599138,20.4,44,"No",0.22
"FI",2011,"Social Democratic Party of Finland",561558,19.1,42,"No",0.21
"FI",2011,"True Finns",560075,19.1,39,"No",0.195
"FI",2011,"Center Party of Finland",463266,15.8,35,"No",0.175
"FI",2011,"Left Alliance",239039,8.1,14,"No",0.07
"FI",2011,"Green League",213172,7.3,10,"No",0.05
"FI",2011,"Swedish People's Party in Finland",125785,4.3,9,"No",0.045
"FI",2011,"Christian Democrats in Finland",118453,4,6,"No",0.03
"FI",2011,"Pirate Party of Finland",15103,0.5,0,"No",0
"FI",2011,"Communist Party of Finland",9232,0.3,0,"No",0
"FI",2011,"Others",34750,1.2,1,"No",0.005
