Region,Year,Party,Votes,VotesPercentage,TotalSeats
UK,2017,Labour,12877918.0,40.0,262.0
UK,2017,Liberal Democrat,2371870.0,7.4,12.0
UK,2017,Sinn Fein,238915.0,0.7,7.0
UK,2017,Green,525665.0,1.6,1.0
UK,2017,United Kingdom Independence Party,594068.0,1.8,0.0
UK,2017,Ulster Unionist Party,83280.0,0.3,0.0
UK,2017,Others,247172.0,0.8,1.0
UK,2017,Conservative,13636684.0,42.3,317.0
UK,2017,Scottish National Party,977568.0,3.0,35.0
UK,2017,Democratic Unionist Party,292316.0,0.9,10.0
UK,2017,Plaid Cymru (Party of Wales),164466.0,0.5,4.0
UK,2017,Speaker,34299.0,0.1,1.0
UK,2017,Social Democratic and Labour Party,95419.0,0.3,0.0
UK,2017,Alliance Party,64533.0,0.2,0.0
