Region,Year,Party,Votes,VotesPercentage,TotalSeats
SK,2016,Freedom and Solidarity (SaS),315558.0,12.1,21.0
SK,2016,Slovak National Party (SNS),225386.0,8.6,15.0
SK,2016,We Are Family (SME RODINA - Boris Kollar),172860.0,6.6,11.0
SK,2016,Network (#SIET),146205.0,5.6,10.0
SK,2016,Hungarian Community Party (SMK-MKP),105495.0,4.0,0.0
SK,2016,Direction - Social Democracy (SMER-SD),737481.0,28.3,49.0
SK,2016,Ordinary People and Independent Personalities (OLANO - NOVA),287611.0,11.0,19.0
SK,2016,Kotleba - People's Party Our Slovakia (LSNS),209779.0,8.0,14.0
SK,2016,MOST - HID,169593.0,6.5,11.0
SK,2016,Christian Democratic Movement (KDH),128908.0,4.9,0.0
SK,2016,Others,108874.0,4.2,0.0
