ZG,2007,Social Democratic Party of Switzerland (SPS),3254,9.1,0
FR,2007,Registered Electors,173530,,
FR,2007,Voters,83216,48.0,
FR,2007,Blank and Invalid Ballots,1093,,
FR,2007,Valid Votes,82123,,
FR,2007,Christian Democratic Party (PDC),20022,24.8,2
FR,2007,Socialist Party of Switzerland (PSS),18368,22.7,2
FR,2007,Democratic Center Union (UDC),17812,22.0,1
FR,2007,Radical Liberal Party (PLR),11174,13.8,1
FR,2007,Christian Social Party (PCS),5741,7.1,1
FR,2007,The Greens - Green Party of Switzerland (PES),5117,6.3,0
FR,2007,Federal Democratic Union (UDF),710,0.9,0
FR,2007,Swiss Evangelical Party (PEV),621,0.8,0
FR,2007,Others,1279,1.6,0
SO,2007,Registered Electors,168927,,
SO,2007,Voters,85668,50.7,
SO,2007,Blank and Invalid Ballots,1691,,
SO,2007,Valid Votes,83977,,
SO,2007,Swiss People's Party (SVP),22617,27.1,2
SO,2007,Christian Democratic People's Party (CVP),16997,20.4,2
SO,2007,Free Democratic Party (FDP),17491,21.0,1
SO,2007,Social Democratic Party of Switzerland (SPS),16242,19.5,1
SO,2007,The Greens - Green Party of Switzerland (GPS),8334,10.0,1
SO,2007,Evangelical People's Party (EVP),1473,1.8,0
SO,2007,Swiss Democrats (SD),319,0.4,0
BS,2007,Registered Electors,113890,,
BS,2007,Voters,59700,52.4,
BS,2007,Blank and Invalid Ballots,1190,,
BS,2007,Valid Votes,58510,,
BS,2007,Social Democratic Party of Switzerland (SPS),20504,35.2,2
BS,2007,Swiss People's Party (SVP),10767,18.5,1
BS,2007,The Greens - Green Party of Switzerland (GPS),7060,12.1,1
BS,2007,Free Democratic Party (FDP),6615,11.3,1
BS,2007,Liberal Democratic Party (LPS),5339,9.2,0
BS,2007,Christian Democratic People's Party (CVP),4299,7.4,0
BS,2007,Evangelical People's Party (EVP),2081,3.6,0
BS,2007,Swiss Democrats (SD),400,0.7,0
BS,2007,Federal Democratic Union (EDU),293,0.5,0
BS,2007,Others,963,1.7,0
BL,2007,Registered Electors,183917,,
BL,2007,Voters,90727,49.3,
BL,2007,Blank and Invalid Ballots,1146,,
BL,2007,Valid Votes,89581,,
BL,2007,Swiss People's Party (SVP),25407,28.5,2
BL,2007,Social Democratic Party of Switzerland (SPS),22430,25.2,2
BL,2007,Free Democratic Party (FDP),15154,17.0,1
BL,2007,The Greens - Green Party of Switzerland (GPS),12265,13.8,1
BL,2007,Christian Democratic People's Party (CVP),10152,11.4,1
BL,2007,Evangelical People's Party (EVP),2481,2.8,0
BL,2007,Swiss Democrats (SD),712,0.8,0
BL,2007,Federal Democratic Union (EDU),421,0.5,0
SH,2007,Registered Electors,48685,,
SH,2007,Voters,31815,65.3,
SH,2007,Blank and Invalid Ballots,1260,,
SH,2007,Valid Votes,30555,,
SH,2007,Swiss People's Party (SVP),11931,39.1,1
SH,2007,Social Democratic Party of Switzerland (SPS),10443,34.2,1
SH,2007,Free Democratic Party (FDP),8145,26.7,0
AR,2007,Registered Electors,36990,,
AR,2007,Voters,12332,33.3,
AR,2007,Blank and Invalid Ballots,1523,,
AR,2007,Valid Votes,10809,,
AR,2007,Free Democratic Party (FDP),7780,72.0,1
AR,2007,Others,3029,28.0,0
AI,2007,Registered Electors,10901,,
AI,2007,Voters,2300,21.1,
AI,2007,Blank and Invalid Ballots,247,,
AI,2007,Valid Votes,2053,,
AI,2007,Christian Democratic People's Party (CVP),1736,84.6,1
AI,2007,Others,317,15.4,0
SG,2007,Registered Electors,300034,,
SG,2007,Voters,140365,46.8,
SG,2007,Blank and Invalid Ballots,2177,,
SG,2007,Valid Votes,138188,,
SG,2007,Swiss People's Party (SVP),49118,35.8,5
SG,2007,Christian Democratic People's Party (CVP),29408,21.4,3
