Region,Year,Party,Votes,VotesPercentage,TotalSeats
UA,2012,"All-Ukrainian Union ""Fatherland""",5209090.0,25.5,62.0
UA,2012,Communist Party of Ukraine,2687269.0,13.2,32.0
UA,2012,Ukraine - Forward! of Natalia Korolevska,322198.0,1.6,0.0
UA,2012,Radical Party of Oleh Lyashko,221144.0,1.1,0.0
UA,2012,Party of Regions,6116746.0,30.0,72.0
UA,2012,UDAR (Ukrainian Democratic Alliance for Reform) of Vitaliy Klychko,2847979.0,14.0,34.0
UA,2012,"All-Ukrainian Union ""Svoboda""",2129933.0,10.4,25.0
UA,2012,Our Ukraine,226492.0,1.1,0.0
UA,2012,Others,627168.0,3.1,0.0
