Region,Year,Party,Votes,VotesPercentage,TotalSeats
AT,2006,Austrian People's Party (OVP),1616493.0,34.3,66.0
AT,2006,Freedom Party of Austria (FPO),519598.0,11.0,21.0
AT,2006,List Dr. Martin (MATIN),131688.0,2.8,0.0
AT,2006,Others,15269.0,0.3,0.0
AT,2006,Social Democratic Party of Austria (SPO),1663986.0,35.3,68.0
AT,2006,The Greens - The Green Alternative (GRUNE),520130.0,11.0,21.0
AT,2006,Alliance for the Future of Austria (BZO),193539.0,4.1,7.0
AT,2006,Communist Party of Austria (KPO),47578.0,1.0,0.0
