Region,Year,Party,Votes,VotesPercentage,TotalSeats
SI,2018,List of Marjan Sarec (LMS),112250.0,12.6,13.0
SI,2018,Modern Center Party (SMC),86868.0,9.7,10.0
SI,2018,New Slovenia - Christian Democrats (NSi),63792.0,7.2,7.0
SI,2018,Democratic Party of Slovenian Pensioners (DeSUS),43889.0,4.9,5.0
SI,2018,Slovenian People's Party (SLS),23329.0,2.6,0.0
SI,2018,Others,65439.0,7.3,2.0
SI,2018,Slovenian Democratic Party (SDS),222042.0,24.9,25.0
SI,2018,Social Democrats (SD),88524.0,9.9,10.0
SI,2018,The Left (LEVICA),83108.0,9.3,9.0
SI,2018,Party of Alenka Bratusek (SAB),45492.0,5.1,5.0
SI,2018,Slovenian National Party (SNS),37182.0,4.2,4.0
SI,2018,Slovenian Pirate Party (PSS),19182.0,2.2,0.0
