Region,Year,Party,Votes,VotesPercentage,TotalSeats
UK,2015,Labour,9347273.0,30.4,232.0
UK,2015,Liberal Democrat,2415916.0,7.9,8.0
UK,2015,Sinn Fein,176232.0,0.6,4.0
UK,2015,Social Democratic and Labour Party,99809.0,0.3,3.0
UK,2015,United Kingdom Independence Party,3881099.0,12.6,1.0
UK,2015,Speaker,34617.0,0.1,1.0
UK,2015,Others,288449.0,0.9,1.0
UK,2015,Conservative,11299609.0,36.8,330.0
UK,2015,Scottish National Party,1454436.0,4.7,56.0
UK,2015,Democratic Unionist Party,184260.0,0.6,8.0
UK,2015,Plaid Cymru (Party of Wales),181704.0,0.6,3.0
UK,2015,Ulster Unionist Party,114935.0,0.4,2.0
UK,2015,Green,1157630.0,3.8,1.0
UK,2015,Alliance Party,61556.0,0.2,0.0
