01,03,2007,O,Danish People's Party,35252,12.6,1,1,2
01,03,2007,F,Socialist People's Party,30142,10.8,1,1,2
01,03,2007,B,Danish Social-Liberal Party (Radikale Venstre),20031,7.2,1,0,1
01,03,2007,Y,New Alliance,12107,4.3,0,1,1
01,03,2007,&Oslash;,Unity List - Red-Green Alliance,5612,2.0,0,0,0
01,03,2007,K,Christian Democrats,1457,0.5,0,0,0
01,04,2007,,Registered Electors,33150,,,,
01,04,2007,,Voters,28200,85.1,,,
01,04,2007,,Blank or Invalid Ballots,233,0.8,,,
01,04,2007,,Valid Votes,27967,99.2,,,
01,04,2007,A,Social Democratic Party,9888,35.4,1,0,1
01,04,2007,V,Liberal Party of Denmark (Venstre),7350,26.3,1,0,1
01,04,2007,O,Danish People's Party,3361,12.0,0,0,0
01,04,2007,F,Socialist People's Party,3328,11.9,0,0,0
01,04,2007,C,Conservative People's Party,1688,6.0,0,0,0
01,04,2007,B,Danish Social-Liberal Party (Radikale Venstre),618,2.2,0,0,0
01,04,2007,Y,New Alliance,617,2.2,0,0,0
01,04,2007,K,Christian Democrats,555,2.0,0,0,0
01,04,2007,&Oslash;,Unity List - Red-Green Alliance,541,1.9,0,0,0
01,04,2007,,Independent Candidates,21,0.1,0,0,0
02,05,2007,,Registered Electors,610343,,,,
02,05,2007,,Voters,530033,86.8,,,
02,05,2007,,Blank or Invalid Ballots,3597,0.7,,,
02,05,2007,,Valid Votes,526436,99.3,,,
02,05,2007,V,Liberal Party of Denmark (Venstre),146300,27.8,6,2,8
02,05,2007,A,Social Democratic Party,134280,25.5,6,1,7
02,05,2007,O,Danish People's Party,88140,16.7,4,1,5
02,05,2007,F,Socialist People's Party,67570,12.8,3,0,3
02,05,2007,C,Conservative People's Party,44593,8.5,2,0,2
02,05,2007,B,Danish Social-Liberal Party (Radikale Venstre),20721,3.9,0,1,1
02,05,2007,Y,New Alliance,14401,2.7,0,1,1
02,05,2007,&Oslash;,Unity List - Red-Green Alliance,8316,1.6,0,1,1
02,05,2007,K,Christian Democrats,2115,0.4,0,0,0
02,06,2007,,Registered Electors,360475,,,,
02,06,2007,,Voters,312000,86.6,,,
02,06,2007,,Blank or Invalid Ballots,2342,0.8,,,
02,06,2007,,Valid Votes,309658,99.2,,,
02,06,2007,A,Social Democratic Party,83395,26.9,4,0,4
02,06,2007,V,Liberal Party of Denmark (Venstre),66198,21.4,3,0,3
02,06,2007,O,Danish People's Party,45843,14.8,2,0,2
02,06,2007,F,Socialist People's Party,43258,14.0,2,0,2
02,06,2007,C,Conservative People's Party,41225,13.3,1,1,2
02,06,2007,B,Danish Social-Liberal Party (Radikale Venstre),15554,5.0,0,1,1
02,06,2007,Y,New Alliance,7476,2.4,0,0,0
02,06,2007,&Oslash;,Unity List - Red-Green Alliance,5446,1.8,0,0,0
02,06,2007,K,Christian Democrats,1195,0.4,0,0,0
02,06,2007,,Independent Candidates,68,0.0,0,0,0
02,07,2007,,Registered Electors,521137,,,,
02,07,2007,,Voters,447657,85.9,,,
02,07,2007,,Blank or Invalid Ballots,3478,0.8,,,
02,07,2007,,Valid Votes,444179,99.2,,,
02,07,2007,V,Liberal Party of Denmark (Venstre),153688,34.6,7,1,8
02,07,2007,A,Social Democratic Party,101557,22.9,5,0,5
02,07,2007,O,Danish People's Party,69762,15.7,3,1,4
02,07,2007,F,Socialist People's Party,50484,11.4,2,1,3
02,07,2007,C,Conservative People's Party,37055,8.3,1,1,2
02,07,2007,B,Danish Social-Liberal Party (Radikale Venstre),15201,3.4,0,1,1
02,07,2007,Y,New Alliance,8481,1.9,0,1,1
02,07,2007,K,Christian Democrats,4325,1.0,0,0,0
02,07,2007,&Oslash;,Unity List - Red-Green Alliance,3626,0.8,0,0,0
03,08,2007,,Registered Electors,532969,,,,
03,08,2007,,Voters,465418,87.3,,,
03,08,2007,,Blank or Invalid Ballots,3019,0.6,,,
03,08,2007,,Valid Votes,462399,99.4,,,
03,08,2007,A,Social Democratic Party,127432,27.6,6,1,7
03,08,2007,V,Liberal Party of Denmark (Venstre),125074,27.0,5,1,6
03,08,2007,F,Socialist People's Party,61496,13.3,2,1,3
03,08,2007,O,Danish People's Party,56218,12.2,2,1,3
03,08,2007,C,Conservative People's Party,40068,8.7,1,1,2
03,08,2007,B,Danish Social-Liberal Party (Radikale Venstre),24921,5.4,1,0,1
03,08,2007,Y,New Alliance,13389,2.9,0,1,1
03,08,2007,&Oslash;,Unity List - Red-Green Alliance,9887,2.1,0,1,1
03,08,2007,K,Christian Democrats,3820,0.8,0,0,0
03,08,2007,,Independent Candidates,94,0.0,0,0,0
03,09,2007,,Registered Electors,375087,,,,
03,09,2007,,Voters,327609,87.3,,,
03,09,2007,,Blank or Invalid Ballots,2286,0.7,,,
03,09,2007,,Valid Votes,325323,99.3,,,
