Region,Year,Party,Votes,VotesPercentage,TotalSeats
SK,2012,Christian Democratic Movement (KDH),225361.0,8.8,16.0
SK,2012,MOST - HID,176088.0,6.9,13.0
SK,2012,Freedom and Solidarity (SaS),150266.0,5.9,11.0
SK,2012,Hungarian Coalition Party (SMK-MKP),109483.0,4.3,0.0
SK,2012,Others,227059.0,8.9,0.0
SK,2012,Direction - Social Democracy (SMER-SD),1134280.0,44.4,83.0
SK,2012,Ordinary People and Independent Personalities (OLaNO),218537.0,8.6,16.0
SK,2012,Slovak Democratic and Christian Union - Democratic Party (SDKU-DS),155744.0,6.1,11.0
SK,2012,Slovak National Party (SNS),116420.0,4.6,0.0
SK,2012,99 Percent - Civic Voice (99%),40488.0,1.6,0.0
