Region,Year,Party,Votes,VotesPercentage,TotalSeats
PL,2001,Civic Platform (PO),1651099.0,14.7,65.0
PL,2001,Law and Justice (PiS),1236787.0,11.0,44.0
PL,2001,League of Polish Families (LPR),1025148.0,9.1,38.0
PL,2001,Solidarity Electoral Action (AWS),729207.0,6.5,0.0
PL,2001,Democratic Left Alliance - Labour Union (SLD - UP),5342519.0,47.4,216.0
PL,2001,Self-Defense (SRP),1327624.0,11.8,53.0
PL,2001,Polish Peasant Party (PSL),1168659.0,10.4,42.0
PL,2001,German Minority,47230.0,0.4,2.0
PL,2001,Others,489656.0,4.3,0.0
