Region,Year,Party,Votes,VotesPercentage,TotalSeats
AT,2008,Austrian People's Party (OVP),1269656.0,26.0,51.0
AT,2008,Alliance for the Future of Austria (BZO),522933.0,10.7,21.0
AT,2008,Liberal Forum (LIF),102249.0,2.1,0.0
AT,2008,Communist Party of Austria (KPO),37362.0,0.8,0.0
AT,2008,Social Democratic Party of Austria (SPO),1430206.0,29.3,57.0
AT,2008,Freedom Party of Austria (FPO),857029.0,17.5,34.0
AT,2008,The Greens - The Green Alternative (GRUNE),509936.0,10.4,20.0
AT,2008,Citizens' Forum Austria - List Fritz Dinkhauser (FRITZ),86194.0,1.8,0.0
AT,2008,Others,71744.0,1.5,0.0
