Region,Year,Party,Votes,VotesPercentage,TotalSeats
SI,2011,Slovenian Democratic Party (SDS),288719.0,26.2,26.0
SI,2011,Gregor Virant's Civic List (LGV),92282.0,8.4,8.0
SI,2011,Slovenian People's Party (SLS),75311.0,6.8,6.0
SI,2011,Slovenian National Party (SNS),19786.0,1.8,0.0
SI,2011,Others,49054.0,4.5,2.0
SI,2011,Zoran Jankovic's List - Positive Slovenia (LZJ-PS),314273.0,28.5,28.0
SI,2011,Social Democrats (SD),115952.0,10.5,10.0
SI,2011,Democratic Party of Slovenian Pensioners (DeSUS),76853.0,7.0,6.0
SI,2011,New Slovenia - Christian People's Party (NSi),53758.0,4.9,4.0
SI,2011,Liberal Democracy of Slovenia (LDS),16268.0,1.5,0.0
