Region,Year,Party,Votes,VotesPercentage,TotalSeats
UK,2001,Conservative,8357615.0,31.7,166.0
UK,2001,Ulster Unionist Party,216839.0,0.8,6.0
UK,2001,Democratic Unionist Party,181999.0,0.7,5.0
UK,2001,Sinn Fein,175933.0,0.7,4.0
UK,2001,Independent Kidderminster Hospital and Health Concern,28487.0,0.1,1.0
UK,2001,United Kingdom Independence Party,390563.0,1.5,0.0
UK,2001,Labour,10724953.0,40.7,412.0
UK,2001,Liberal Democrat,4814321.0,18.3,52.0
UK,2001,Scottish National Party,464314.0,1.8,5.0
UK,2001,Plaid Cymru (Party of Wales),195893.0,0.7,4.0
UK,2001,Social Democratic and Labour Party,169865.0,0.6,3.0
UK,2001,Speaker,16053.0,0.1,1.0
UK,2001,Others,630548.0,2.4,0.0
