19,,2008,P,La Destra - Fiamma Tricolore,57229,2.0,0
19,,2008,P,Partito Socialista,17130,0.6,0
19,,2008,P,Others,61588,2.2,0
01,01,2008,P,Registered Electors,1798630,,
01,01,2008,P,Voters,1441175,80.1,
01,01,2008,P,Blank or Invalid Ballots,50031,3.5,
01,01,2008,P,Valid Votes,1391144,96.5,
01,01,2008,P,Silvio Berlusconi,572306,41.1,12
01,01,2008,P,Il Popolo della Libert&agrave;,451644,32.5,9
01,01,2008,P,Lega Nord,120662,8.7,3
01,01,2008,P,Walter Veltroni,589468,42.4,11
01,01,2008,P,Partito Democratico,506398,36.4,9
01,01,2008,P,Italia dei Valori,83070,6.0,2
01,01,2008,P,Unione di Centro,70231,5.0,1
01,01,2008,P,La Sinistra l'Arcobaleno,57272,4.1,0
01,01,2008,P,La Destra - Fiamma Tricolore,48651,3.5,0
01,01,2008,P,Partito Socialista,10052,0.7,0
01,01,2008,P,Others,43164,3.1,0
01,02,2008,P,Registered Electors,1697457,,
01,02,2008,P,Voters,1382094,81.4,
01,02,2008,P,Blank or Invalid Ballots,52052,3.8,
01,02,2008,P,Valid Votes,1330042,96.2,
01,02,2008,P,Silvio Berlusconi,706346,53.1,15
01,02,2008,P,Il Popolo della Libert&agrave;,483831,36.4,10
01,02,2008,P,Lega Nord,222515,16.7,5
01,02,2008,P,Walter Veltroni,431519,32.4,7
01,02,2008,P,Partito Democratico,379150,28.5,6
01,02,2008,P,Italia dei Valori,52369,3.9,1
01,02,2008,P,Unione di Centro,71103,5.3,1
01,02,2008,P,La Destra - Fiamma Tricolore,38203,2.9,0
01,02,2008,P,La Sinistra l'Arcobaleno,35405,2.7,0
01,02,2008,P,Partito Socialista,8049,0.6,0
01,02,2008,P,Others,39417,3.0,0
03,03,2008,P,Registered Electors,3010948,,
03,03,2008,P,Voters,2516073,83.6,
03,03,2008,P,Blank or Invalid Ballots,57544,2.3,
03,03,2008,P,Valid Votes,2458529,97.7,
03,03,2008,P,Silvio Berlusconi,1278530,52.0,24
03,03,2008,P,Il Popolo della Libert&agrave;,883573,35.9,16
03,03,2008,P,Lega Nord,394957,16.1,8
03,03,2008,P,Walter Veltroni,875629,35.6,15
03,03,2008,P,Partito Democratico,763919,31.1,13
03,03,2008,P,Italia dei Valori,111710,4.5,2
03,03,2008,P,Unione di Centro,86511,3.5,1
03,03,2008,P,La Sinistra l'Arcobaleno,86746,3.5,0
03,03,2008,P,La Destra - Fiamma Tricolore,55767,2.3,0
03,03,2008,P,Partito Socialista,15617,0.6,0
03,03,2008,P,Others,59729,2.4,0
03,04,2008,P,Registered Electors,3248230,,
03,04,2008,P,Voters,2787580,85.8,
03,04,2008,P,Blank or Invalid Ballots,74639,2.7,
03,04,2008,P,Valid Votes,2712941,97.3,
03,04,2008,P,Silvio Berlusconi,1604284,59.1,29
03,04,2008,P,Il Popolo della Libert&agrave;,849427,31.3,15
03,04,2008,P,Lega Nord,754857,27.8,14
03,04,2008,P,Walter Veltroni,766820,28.3,12
03,04,2008,P,Partito Democratico,663816,24.5,10
03,04,2008,P,Italia dei Valori,103004,3.8,2
03,04,2008,P,Unione di Centro,131177,4.8,2
03,04,2008,P,La Sinistra l'Arcobaleno,66393,2.4,0
03,04,2008,P,La Destra - Fiamma Tricolore,51692,1.9,0
03,04,2008,P,Partito Socialista,13514,0.5,0
03,04,2008,P,Others,79061,2.9,0
03,05,2008,P,Registered Electors,1185672,,
03,05,2008,P,Voters,1001733,84.5,
03,05,2008,P,Blank or Invalid Ballots,30696,3.1,
03,05,2008,P,Valid Votes,971037,96.9,
03,05,2008,P,Silvio Berlusconi,504412,51.9,9
03,05,2008,P,Il Popolo della Libert&agrave;,326333,33.6,6
03,05,2008,P,Lega Nord,178079,18.3,3
03,05,2008,P,Walter Veltroni,330820,34.1,5
03,05,2008,P,Partito Democratico,299810,30.9,5
03,05,2008,P,Italia dei Valori,31010,3.2,0
03,05,2008,P,Unione di Centro,43645,4.5,1
03,05,2008,P,La Sinistra l'Arcobaleno,27514,2.8,0
03,05,2008,P,La Destra - Fiamma Tricolore,22638,2.3,0
03,05,2008,P,Partito Socialista,8221,0.8,0
03,05,2008,P,Others,33787,3.5,0
04,06,2008,P,Registered Electors,760369,,
04,06,2008,P,Voters,640664,84.3,
04,06,2008,P,Blank or Invalid Ballots,24433,3.8,
04,06,2008,P,Valid Votes,616231,96.2,
04,06,2008,P,Silvio Berlusconi,187056,30.4,4
04,06,2008,P,Il Popolo della Libert&agrave;,128994,20.9,3
04,06,2008,P,Lega Nord,58062,9.4,1
04,06,2008,P,Walter Veltroni,171295,27.8,3
04,06,2008,P,Partito Democratico,150835,24.5,3
04,06,2008,P,Italia dei Valori,20460,3.3,0
04,06,2008,P,S&uuml;dtiroler Volkspartei (SVP),147718,24.0,2
04,06,2008,P,Unione di Centro,25695,4.2,0
04,06,2008,P,La Sinistra l'Arcobaleno,19256,3.1,0
04,06,2008,P,La Destra - Fiamma Tricolore,12437,2.0,0
04,06,2008,P,Partito Socialista,2389,0.4,0
04,06,2008,P,Others,50385,8.2,0
05,07,2008,P,Registered Electors,2222833,,
05,07,2008,P,Voters,1908902,85.9,
05,07,2008,P,Blank or Invalid Ballots,49938,2.6,
05,07,2008,P,Valid Votes,1858964,97.4,
05,07,2008,P,Silvio Berlusconi,1026844,55.2,19
05,07,2008,P,Lega Nord,523568,28.2,10
05,07,2008,P,Il Popolo della Libert&agrave;,503276,27.1,9
05,07,2008,P,Walter Veltroni,548295,29.5,9
05,07,2008,P,Partito Democratico,475546,25.6,8
05,07,2008,P,Italia dei Valori,72749,3.9,1
05,07,2008,P,Unione di Centro,110800,6.0,2
05,07,2008,P,La Sinistra l'Arcobaleno,37146,2.0,0
05,07,2008,P,La Destra - Fiamma Tricolore,36742,2.0,0
05,07,2008,P,Partito Socialista,8895,0.5,0
05,07,2008,P,Others,90242,4.9,0
05,08,2008,P,Registered Electors,1496722,,
05,08,2008,P,Voters,1242202,83.0,
05,08,2008,P,Blank or Invalid Ballots,35251,2.8,
05,08,2008,P,Valid Votes,1206951,97.2,
05,08,2008,P,Silvio Berlusconi,641508,53.2,12
05,08,2008,P,Il Popolo della Libert&agrave;,334630,27.7,6
05,08,2008,P,Lega Nord,306878,25.4,6
05,08,2008,P,Walter Veltroni,396003,32.8,7
05,08,2008,P,Partito Democratico,336963,27.9,6
05,08,2008,P,Italia dei Valori,59040,4.9,1
05,08,2008,P,Unione di Centro,60274,5.0,1
05,08,2008,P,La Sinistra l'Arcobaleno,31018,2.6,0
05,08,2008,P,La Destra - Fiamma Tricolore,23133,1.9,0
05,08,2008,P,Partito Socialista,7633,0.6,0
05,08,2008,P,Others,47382,3.9,0
06,09,2008,P,Registered Electors,980136,,
06,09,2008,P,Voters,791732,80.8,
06,09,2008,P,Blank or Invalid Ballots,28573,3.6,
06,09,2008,P,Valid Votes,763159,96.4,
06,09,2008,P,Silvio Berlusconi,364602,47.8,7
06,09,2008,P,Il Popolo della Libert&agrave;,265062,34.7,5
06,09,2008,P,Lega Nord,99540,13.0,2
06,09,2008,P,Walter Veltroni,272278,35.7,5
06,09,2008,P,Partito Democratico,238975,31.3,4
06,09,2008,P,Italia dei Valori,33303,4.4,1
06,09,2008,P,Unione di Centro,45987,6.0,1
