Region,Year,Party,Votes,VotesPercentage,TotalSeats
IE,2016,Fianna Fail,519353.0,24.3,44.0
IE,2016,Non-Party,334814.0,15.7,19.0
IE,2016,Anti-Austerity Alliance - People Before Profit,84168.0,3.9,6.0
IE,2016,Social Democrats,64094.0,3.0,3.0
IE,2016,Renua Ireland,46552.0,2.2,0.0
IE,2016,Fine Gael,544230.0,25.5,50.0
IE,2016,Sinn Fein,295313.0,13.8,23.0
IE,2016,Labour Party,140893.0,6.6,7.0
IE,2016,Independents 4 Change,31365.0,1.5,4.0
IE,2016,Green Party/Comhaontas Glas,57997.0,2.7,2.0
IE,2016,Others,14116.0,0.7,0.0
